,image_id,CFixationPointXImage,CFixationPointYImage,username
66838,C48,53273.24191,107654.326,P7
66839,C48,66125.42129,96160.09153,P7
66840,C48,43262.36856,96763.93727,P7
66841,C48,36903.71951,101542.2971,P7
66842,C48,35038.05674,97704.7842,P7
66843,C48,37222.24729,94163.43362,P7
66844,C48,39087.91006,89973.18383,P7
66845,C48,39121.83036,90689.59403,P7
66846,C48,36755.62393,93010.07088,P7
66847,C48,30377.59185,91591.41718,P7
66848,C48,28787.49116,91144.45105,P7
66849,C48,26418.83877,91913.1442,P7
66850,C48,26139.8616,92309.07331,P7
66851,C48,25838.04013,91443.61287,P7
66852,C48,40041.55512,88991.25194,P7
66853,C48,40742.29779,88950.8284,P7
66854,C48,40850.10436,88802.60879,P7
66855,C48,25379.86223,91618.78151,P7
66856,C48,25312.48313,91672.67956,P7
66857,C48,25622.427,90972.005,P7
66858,C48,24171.7226,92551.06076,P7
66859,C48,23810.25217,95463.90848,P7
66860,C48,25121.74488,92203.49221,P7
66861,C48,25091.74734,92275.47932,P7
66862,C48,24773.33492,92386.39024,P7
66863,C48,24462.76802,92535.60198,P7
66864,C48,26288.74172,89559.51174,P7
66865,C48,36517.81261,92008.06566,P7
66866,C48,36302.19948,92075.43822,P7
66867,C48,27246.44799,92708.74022,P7
66868,C48,25449.13349,91789.10487,P7
66869,C48,23642.45051,99152.32504,P7
66870,C48,22692.40516,99314.01917,P7
66871,C48,21358.29891,101759.6429,P7
66872,C48,22510.48158,99556.56036,P7
66873,C48,23683.66253,100387.8269,P7
66874,C48,22711.74204,101044.7093,P7
66875,C48,22549.75529,100945.727,P7
66876,C48,22202.38371,101748.3833,P7
66877,C48,22916.02533,102965.8654,P7
66878,C48,21604.83259,104417.3055,P7
66879,C48,23312.89286,108606.3555,P7
66880,C48,27135.18017,112353.2847,P7
66881,C48,71135.07301,101369.5281,P7
66882,C48,71761.42177,101481.9387,P7
66883,C48,70020.87185,102458.6562,P7
66884,C48,68151.47094,98340.67036,P7
66885,C48,71941.9147,111150.0847,P7
66886,C48,78872.36313,111850.667,P7
66887,C48,77843.12425,109472.6004,P7
66888,C48,78100.08785,109412.3804,P7
66889,C48,77774.8683,109263.8378,P7
66890,C48,77835.09414,109243.7645,P7
66891,C48,76968.30351,109281.8346,P7
66892,C48,62134.97851,109192.7736,P7
