,image_id,CFixationPointXImage,CFixationPointYImage,GazeEventDuration,username
70504,C33,59054.92568,40958.28823,283,P8
70505,C33,74004.41718,57716.89273,292,P8
70506,C33,67985.79073,44322.95013,208,P8
70507,C33,46629.37431,39987.71268,117,P8
70508,C33,47341.25486,25105.55424,267,P8
70509,C33,59831.52264,45746.46094,267,P8
70510,C33,74004.41718,62505.06545,308,P8
70511,C33,90118.80412,65869.72735,217,P8
70512,C33,79570.02873,45228.82065,233,P8
70513,C33,111151.6385,14235.10807,267,P8
70514,C33,79505.31232,40570.05801,575,P8
70515,C33,79505.31232,40570.05801,575,P8
