image_id,relativeTimestamp
C1,17650.008016032065
C10,64124.69092721835
C11,40524.43470263642
C12,59037.11257189811
C13,46163.2813111546
C14,100942.79938900203
C15,18262.80903954802
C16,28886.007047768206
C17,71173.06086956522
C18,20432.783430232557
C19,21325.02481751825
C2,52455.8467254993
C20,48230.63142437592
C21,23357.832290362952
C22,36077.99337382661
C23,48010.52844311377
C24,34671.81703775412
C25,33632.36042183623
C26,32355.797609561752
C27,34258.43821742066
C28,28731.777458722183
C29,38374.73726851852
C3,28918.031670625496
C30,40272.6808988764
C31,19349.524361948956
C32,38710.93490196078
C33,18150.13888888889
C34,13340.953642384105
C35,30288.33547351525
C36,22248.589947089946
C37,28832.500789889415
C38,41499.66461916462
C39,40315.18331053352
C4,35319.72445117335
C40,42141.402572347266
C41,51101.30880159125
C42,56858.539010989014
C43,54878.02222222222
C44,22518.797297297297
C45,37746.48821989529
C46,16644.088582677166
C47,35619.8233256351
C48,33217.592156862745
C49,39656.76187198899
C5,23172.99502487562
C50,51535.98065764023
C51,20301.37591240876
C52,38846.32292405962
C53,35744.12273276904
C54,30329.289110429447
C55,14425.413793103447
C56,34854.680592991914
C57,28188.064285714285
C58,31453.0
C59,31491.173489278754
C6,27110.787401574802
C60,32449.838783269963
C7,47998.52005730659
C8,24751.662060301507
C9,36019.22431372549
